index,title,year,runtime,genre,rating,description,director,actors,votes,language,budget,worldwide_gross,worldwide_share,domestic_nett,verdict
29.,Bimbisara,(2022),146 min,"
Action, Drama, Fantasy            ",6.8,"
The protagonist time travels from his kingdom to the present world. How and why does he do it?",Mallidi Vasishta,"['Nandamuri Kalyan Ram', 'Samyuktha Menon', 'Catherine Tresa', 'Srinivasa Reddy']",7688, Telugu, 30cr, 61.7cr, 36.8cr, 47.9cr, Double Blockbuster 
30.,Kaathu Vaakula Rendu Kaadhal,(2022),157 min,"
Comedy, Drama, Romance            ",5.5,"
It follows the romance of Rambo with Kanmani and Khatija.",Vignesh Shivan,"['Vijay Sethupathi', 'Nayanthara', 'Samantha Ruth Prabhu', 'Prabhu']",3439, Tamil, 35cr, 61.6cr, 32.3cr, 40.1cr, Super Hit
31.,Vendhu Thanindhathu Kaadu,(2022),177 min,"
Action, Crime, Drama            ",7.4,"
Muthu, a low caste youngster, goes to the streets of Mumbai for a living. His quest takes him to a series of unexpected events, where he gets involved in the underground activities of Mumbai's Tamil gangsters. Will he get to the top?",Gautham Vasudev Menon,"['Lee Whittaker', 'Silambarasan Rajendar', 'Siddhi Idnani', 'Radhika Sarathkumar']",7191, Tamil, 35cr, 61.5cr, 30.5cr, 42.1cr, Hit 
32.,Cobra,(2022),183 min,"
Action, Crime, Thriller            ",6,"
A mathematician genius, Mathi, has another identity, Cobra, who commits intelligent crimes using maths.",R. Ajay Gnanamuthu,"['Vikram', 'Irfan Pathan', 'Srinidhi Shetty', 'K.S. Ravikumar']",9273, Tamil, 90cr, 58.7cr, 29.6cr, 41.1cr, Big Flop 
33.,Hridayam,(2022),172 min,"
Drama, Musical, Romance            ",8.1,"
The emotional journey of Arun, his carefree bachelor days in engineering college, and how he matures through various phases of life.",Vineeth Sreenivasan,"['Pranav Mohanlal', 'Kalyani Priyadarshan', 'Darshana Rajendran', 'Vijayaraghavan']",13149, Malayalam, 7cr, 55.5cr, 24.6cr, 27.6cr, Double Blockbuster
34.,Malikappuram,(2022),121 min,"
Action, Drama            ",7.6,"
An intense desire of Kallu an 8 year old girl from Panchalimedu village to visit Sabarimala.",Vishnu Sasi Shankar,"['Unni Mukundan', 'Saiju Kurup', 'Deva Nandha', 'Sreepath']",4428, Malayalam, 10cr, 52.9cr, 24.6cr, 36.1cr, Double Blockbuster 
35.,Rocketry: The Nambi Effect,(2022),157 min,"
Biography, Drama            ",8.8,"
Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.",Madhavan,"['Madhavan', 'Simran', 'Rajit Kapoor', 'Ravi Raghavendra']",52213, Tamil, 50cr, 50.5cr, 23.1cr, 35.7cr , Below Average 
36.,Jana Gana Mana,(2022),162 min,"
Crime, Drama, Thriller            ",8.3,"
As a college professor's brutal murder sparks student unrest, a cop launches an investigation while a lawyer seeks justice in the the courtroom.",Dijo Jose Antony,"['Prithviraj Sukumaran', 'Suraj Venjaramoodu', 'Mamta Mohandas', 'Mammootty']",14049, Malayalam, 15cr, 50.1cr, 23.1cr, 27.1cr, Blockbuster
37.,Prince,(2022),143 min,"
Action, Drama, Romance            ",4.5,"
A teacher falls in love with a young British woman who works as an English teacher at the same school. He tries to woo her, leads conflicts that come crashing on them as they face the biggest battle of their lives - to get married.",Anudeep K.V.,"['Premgi Amaren', 'Anandraj', 'Finally Bharath', 'Carl A. Harte']",3004, Tamil, 45cr, 49.3cr, 24.6cr, 34.9cr, Big Flop
38.,Liger,(2022),140 min,"
Action, Drama, Romance            ",2.7,"
A story about martial arts, dreams and star crossed lovers. Liger is an MMA fighter who trains hard and rises up the ranks with one goal in mind, to fight like his idol, world renowned MMA fighter Mark Anderson and get noticed by him.",Puri Jagannadh,"['Mike Tyson', 'Ananya Panday', 'Ivy Haralson', 'Vijay Deverakonda']",46468, Telugu, 90cr, 48.1cr, 24.7cr, 34.5cr, Disaster
39.,Thallumaala,(2022),148 min,"
Action, Comedy, Drama            ",7,"
Follows a youngster ready to get married, but funny events happen and changes his plans.",Khalid Rahman,"['Tovino Thomas', 'Kalyani Priyadarshan', 'Shine Tom Chacko', 'Chemban Vinod Jose']",4950, Malayalam, 15cr, 47.5cr, 20.7cr, 25.1cr, Super Hit
40.,Kaduva,(2022),155 min,"
Action, Drama, Thriller            ",6.1,"
The film is set in the late 90s revolving around the life of a young high range rubber planter from Mundakayam and his rivalry with a high ranking officer in the Kerala Police.",Shaji Kailas,"['Prithviraj Sukumaran', 'Vivek Oberoi', 'Samyuktha Menon', 'Siddique']",3128, Malayalam, 15cr, 46.5cr, 21.3cr, 22.8cr, Super Hit
41.,HIT: The 2nd Case,(2022),150 min,"
Action, Crime, Drama            ",7.2,"
Krishna Dev aka KD, a laid back cop, works in AP HIT, has to take up a gruesome murder case. As KD unravels the layers of the crime, the stakes rise unbelievably high and the threat comes unusually close.",Sailesh Kolanu,"['Adivi Sesh', 'Meenakshii Chaudhary', 'Rao Ramesh', 'Tanikella Bharani']",4838, Telugu, 15cr, 42.1cr, 22.7cr, 27.1cr, Blockbuster 
42.,Jaya Jaya Jaya Jaya Hey,(2022),145 min,"
Comedy, Drama, Family            ",7.7,"
Jaya, gets married. Her intention is to complete her education, but her partner mockingly asks her to try for Public Service Commission exams. Jaya tries to find the right balance managing her in-laws as she strives for her goal.",Vipin Das,"['Basil Joseph', 'Anand Manmadhan', 'Noby Marcose', 'Azees Nedumangad']",3666, Malayalam, 10cr, 41cr, 17.8cr, 25.1cr, Blockbuster
43.,Ante Sundharaniki,(2022),173 min,"
Comedy, Romance            ",7.6,"
A Hindu Brahmin falls for a Christian girl and they both lie to their parents, only for their lies to be revealed.",Vivek Athreya,"['Nani', 'Nazriya Nazim', 'V.K. Naresh', 'Azhagam Perumal']",7447, Telugu, 35cr, 39.6cr, 21.4cr, 23.9cr, Below Average
44.,Rorschach,(2022),150 min,"
Action, Mystery, Thriller            ",7,"
The Movie is about Luke Anthony who has a mysterious past and is out on a mission to seek revenge from someone who has destroyed him deeply",Nissam Basheer,"['Mammootty', 'Grace Antony', 'Jagadish', 'Bindu Panikkar']",5114, Malayalam, 15cr, 39.2cr, 17.1cr, 19.1cr, Hit
45.,The Warriorr,(2022),155 min,"
Action, Crime, Drama            ",4.7,"
When Satya raises his voice against Guru, the latter revolts and bashes the former to hell. Satya makes a comeback as a cop to take revenge on Guru and put an end to his crime in Kurnool city.",N. Linguswamy,"['Ram Pothineni', 'Aadhi', 'Krithi Shetty', 'Akshara Gowda']",1640, Telugu, 55cr, 38.1cr, 22.1cr, 30.7cr, Big Flop
46.,Naane Varuvean,(2022),122 min,"
Action, Horror, Thriller            ",6.2,"
Prabhu an average suburban man for whom his family is everything. His life is turned upside down when his daughter Satya is possessed by the ghost of a little boy.",K. Selvaraghavan,"['Dhanush', 'Prabhu', 'Indhuja Ravichandran', 'Elli Avrram']",4867, Tamil, 40cr, 36.9cr, 18.3cr, 26.1cr, Big Flop
47.,Gaalipata 2,(2022),151 min,"
Comedy, Romance            ",6.2,"
Three college friends meet teacher Kishore Kumar who offers them a place to stay. Years later, they reunite to assist their teacher during an illness and in turn find a chance to fix their love lives.",Yograj Bhat,"['Ganesh', 'Diganth', 'Pawan Kumar', 'Pratheek Reddy']",1453, Kannada, 10cr, 35cr, 19.3cr, 29.8cr, Blockbuster 
48.,CBI 5,(2022),162 min,"
Crime, Mystery, Thriller            ",5.6,"
A series of murders is happening in the city. With the police failing to solve the case, a team of CBI Officers under CBI officer Sethurama Iyer take up the investigation to resolve the mystery.",K. Madhu,"['Mammootty', 'Jagathy Sreekumar', 'Mukesh', 'Anoop Menon']",3369, Malayalam, 15cr, 33.5cr, 15.4cr, 14.8cr, Below Average
49.,DJ Tillu,(2022),121 min,"
Action, Comedy, Crime            ",7.2,"
A lazy young man spends his time chasing girls, until an incident changes his life forever.",Vimal Krishna,"['Neha Shetty', 'Sidhu Jonnalagadda', 'Brahmaji', 'Pragathi']",2990, Telugu, 8cr, 30.7cr, 17.3cr, 21.4cr, Double Blockbuster
50.,Yashoda,(2022),135 min,"
Action, Sci-Fi, Thriller            ",6.6,"
In a highly regimented facility housing surrogate mothers, a pregnant woman discovers that things are not as they seem.",Haresh Narayan,"['K. Hari Shankar', 'Samantha Ruth Prabhu', 'Unni Mukundan', 'Varalaxmi Sarathkumar']",10604, Telugu, 25cr, 30.1cr, 15.3cr, 19.3cr, Average 
51.,Khiladi,(2022),154 min,"
Action, Crime, Thriller            ",5.3,"
A murder suspect escapes police custody due to Criminologist Priya's misjudgement on her case for Thesis. Priya along with Arjun solves the mystery around the murder & money laundering which lead to the murder.",Ramesh Varma,"['Ravi Teja', 'Arjun Sarja', 'Unni Mukundan', 'Dimple Hayathi']",3669, Telugu, 50cr, 25.6cr, 14.5cr, 20.7cr, Big Flop
52.,Aaraattu,(2022),167 min,"
Action, Drama            ",3.9,"
Neyyattinkara Gopan, an influential goon is stepping in to help Edathala Mathai do an illegal conversion of an 18-acre paddy field. But is he really who he says he is?",B. Unnikrishnan,"['Mohanlal', 'Nedumudi Venu', 'Vijayaraghavan', 'Siddique']",9464, Malayalam, 20cr, 22.5cr, 10.4cr, 11.5cr, Flop 
53.,Love Mocktail 2,(2022),140 min,"
Drama, Romance            ",7.5,"
A sequel to Love Mocktail. Revolves around Aadi after the demise of his wife Nidhi. How does he move on from such a loss?",Darling Krishna,"['Darling Krishna', 'Milana Nagaraj', 'Rachel David', 'Amrutha Iyengar']",2348, Kannada, 5cr, 20.5cr, 11.3cr, 17.4cr, Blockbuster
